city,date,weathers
Phoenix,4/15/20,23
Phoenix,5/15/20,30
Phoenix,6/15/20,34
Phoenix,7/15/20,38
Phoenix,8/15/20,38
Phoenix,9/15/20,35
Phoenix,10/15/20,33
Phoenix,11/15/20,25
Phoenix,12/15/20,16
Nashville,1/15/20,17
Nashville,2/15/20,4
Nashville,3/15/20,9
Nashville,4/15/20,11
Nashville,5/15/20,24
Nashville,6/15/20,22
Nashville,7/15/20,31
Nashville,8/15/20,27
Nashville,9/15/20,24
Nashville,10/15/20,20
Nashville,11/15/20,13
Nashville,12/15/20,5
Notre Dame,1/15/20,9
Notre Dame,2/15/20,11
Notre Dame,3/15/20,8
Notre Dame,4/15/20,11
Notre Dame,5/15/20,10
Notre Dame,6/15/20,17
Notre Dame,7/15/20,16
Notre Dame,8/15/20,20
Notre Dame,9/15/20,22
Notre Dame,10/15/20,10
Notre Dame,11/15/20,13
Notre Dame,12/15/20,9
Charlottesville,1/15/20,11
Charlottesville,2/15/20,0
Charlottesville,3/15/20,4
Charlottesville,4/15/20,7
Charlottesville,5/15/20,23
Charlottesville,6/15/20,17
Charlottesville,7/15/20,27
Charlottesville,8/15/20,22
Charlottesville,9/15/20,17
Charlottesville,10/15/20,17
Charlottesville,11/15/20,11
Charlottesville,12/15/20,2
Irvine,1/15/20,15
Irvine,2/15/20,18
Irvine,3/15/20,15
Irvine,4/15/20,23
Irvine,5/15/20,22
Irvine,6/15/20,23
Irvine,7/15/20,23
Irvine,8/15/20,30
Irvine,9/15/20,30
Irvine,10/15/20,29
Irvine,11/15/20,23
Irvine,12/15/20,19
Amherst,1/15/20,4
Amherst,2/15/20,-7
Amherst,3/15/20,2
Amherst,4/15/20,7
Amherst,5/15/20,17
Amherst,6/15/20,20
Amherst,7/15/20,23
Amherst,8/15/20,22
Amherst,9/15/20,15
Amherst,10/15/20,15
Amherst,11/15/20,5
Amherst,12/15/20,-3
Washington D.C.,1/15/20,26
Washington D.C.,2/15/20,26
Washington D.C.,3/15/20,26
Washington D.C.,4/15/20,27
Washington D.C.,5/15/20,26
Washington D.C.,6/15/20,27
Washington D.C.,7/15/20,27
Washington D.C.,8/15/20,28
Washington D.C.,9/15/20,29
Washington D.C.,10/15/20,29
Washington D.C.,11/15/20,28
Washington D.C.,12/15/20,27
Boulder,1/15/20,-1
Boulder,2/15/20,-3
Boulder,3/15/20,7
Boulder,4/15/20,4
Boulder,5/15/20,14
Boulder,6/15/20,24
Boulder,7/15/20,23
Boulder,8/15/20,27
Boulder,9/15/20,24
Boulder,10/15/20,7
Boulder,11/15/20,5
Boulder,12/15/20,-4
New Brunswick,1/15/20,8
New Brunswick,2/15/20,-2
New Brunswick,3/15/20,9
New Brunswick,4/15/20,9
New Brunswick,5/15/20,23
New Brunswick,6/15/20,21
New Brunswick,7/15/20,27
New Brunswick,8/15/20,25
New Brunswick,9/15/20,19
New Brunswick,10/15/20,19
New Brunswick,11/15/20,11
New Brunswick,12/15/20,1
Tucson,1/15/20,16
Tucson,2/15/20,15
Tucson,3/15/20,19
Tucson,4/15/20,21
Tucson,5/15/20,27
Tucson,6/15/20,31
Tucson,7/15/20,32
Tucson,8/15/20,34
Tucson,9/15/20,29
Tucson,10/15/20,29
Tucson,11/15/20,22
Tucson,12/15/20,11
Medford,1/15/20,1
Medford,2/15/20,5
Medford,3/15/20,3
Medford,4/15/20,13
Medford,5/15/20,15
Medford,6/15/20,14
Medford,7/15/20,25
Medford,8/15/20,32
Medford,9/15/20,23
Medford,10/15/20,15
Medford,11/15/20,9
Medford,12/15/20,5
Raleigh,1/15/20,16
Raleigh,2/15/20,3
Raleigh,3/15/20,9
Raleigh,4/15/20,7
Raleigh,5/15/20,22
Raleigh,6/15/20,17
Raleigh,7/15/20,30
Raleigh,8/15/20,29
Raleigh,9/15/20,21
Raleigh,10/15/20,20
Raleigh,11/15/20,19
Raleigh,12/15/20,4
Bloomington,1/15/20,-12
Bloomington,2/15/20,-3
Bloomington,3/15/20,2
Bloomington,4/15/20,0
Bloomington,5/15/20,14
Bloomington,6/15/20,20
Bloomington,7/15/20,24
Bloomington,8/15/20,21
Bloomington,9/15/20,24
Bloomington,10/15/20,6
Bloomington,11/15/20,-1
Bloomington,12/15/20,-5
Miami,1/15/20,23
Miami,2/15/20,24
Miami,3/15/20,24
Miami,4/15/20,28
Miami,5/15/20,24
Miami,6/15/20,29
Miami,7/15/20,30
Miami,8/15/20,30
Miami,9/15/20,29
Miami,10/15/20,29
Miami,11/15/20,27
Miami,12/15/20,25
Honolulu,1/15/20,23
Honolulu,2/15/20,23
Honolulu,3/15/20,24
Honolulu,4/15/20,24
Honolulu,5/15/20,25
Honolulu,6/15/20,25
Honolulu,7/15/20,26
Honolulu,8/15/20,26
Honolulu,9/15/20,26
Honolulu,10/15/20,27
Honolulu,11/15/20,25
Honolulu,12/15/20,24
Blacksburg,1/15/20,10
Blacksburg,2/15/20,0
Blacksburg,3/15/20,6
Blacksburg,4/15/20,5
Blacksburg,5/15/20,19
Blacksburg,6/15/20,13
Blacksburg,7/15/20,25
Blacksburg,8/15/20,22
Blacksburg,9/15/20,19
Blacksburg,10/15/20,17
Blacksburg,11/15/20,10
Blacksburg,12/15/20,1
